Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,,Average Length (cm),Number Stocked,Stocking Date
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,19.0,1250,2024-04-17
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,19.5,1000,2024-04-17
Unnamed,Kraft Wimborne Pond,SE28-33-26-W4,TGTR,Beitty/Bow River,3N,20.2,70,2024-04-30
Unnamed,Len Thompson Pond,NW29-40-26-W4,TGTR,Beitty/Bow River,3N,19.7,650,2024-04-30
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,TGTR,Beitty/Bow River,3N,20.0,400,2024-04-10
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,TGTR,Beitty/Bow River,3N,19.5,200,2024-04-25
Unnamed,"Ponoka Centennial Park
Pond",NE5-43-25-W4,TGTR,Beitty/Bow River,3N,19.7,100,2024-04-30
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,TGTR,Beitty/Bow River,3N,20.1,300,2024-05-03
Unnamed,"Strathmore
Children's Pond",SW14-24-25-W4,TGTR,Beitty/Bow River,3N,19.1,150,2024-05-02
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,3N,20.4,2500,2024-04-23
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,2N,55.2,109,2024-04-23
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,41.5,72,2024-04-23
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,19.8,1500,2024-05-03
Dolberg Lake,,SE1-60-8-W5,BNTR,Bow River,3N,20.2,1400,2024-04-30
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,19.8,200,2024-05-03
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,19.5,1000,2024-04-11
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,3N,19.5,1500,2024-04-25
Muir Lake,,NW32-53-27-W4,BNTR,Bow River,3N,20.1,500,2024-05-01
Spring Lake,Cottage,SW30-52-1-W5,BNTR,Bow River,3N,20.2,500,2024-05-01
Star Lake,,NE19-52-2-W5,BNTR,Bow River,3N,20.2,500,2024-04-30
Unnamed,Beaumont Pond,NW27-50-24-W4,BNTR,Bow River,3N,20.3,241,2024-05-03
Unnamed,Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River,3N,20.2,500,2024-04-30
Unnamed,Coronation Reservoir,SW24-36-11-W4,BNTR,Bow River,3N,20.7,1000,2024-04-17
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,19.8,2350,2024-05-02
Unnamed,"East Stormwater
Pond",SE29-40-26-W4,BNTR,Bow River,3N,20.4,100,2024-04-30
Unnamed,Heritage Lake,NW33-55-25-W4,BNTR,Bow River,3N,20.8,500,2024-04-29
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,BNTR,Bow River,3N,20.1,300,2024-05-01
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,20.7,250,2024-04-17
Unnamed,Mitford Ponds,SE4-26-4-W5,BNTR,Bow River,3N,19.4,61,2024-05-03
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,BNTR,Bow River,3N,20.8,222,2024-04-29
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BNTR,Bow River,3N,18.5,1000,2024-04-10
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,BNTR,Bow River,2N,38.0,268,2024-04-11
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,BNTR,Bow River,3N,19.7,283,2024-04-25
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,BNTR,Bow River,3N,19.5,400,2024-05-03
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,BNTR,Bow River,3N,19.7,193,2024-04-25
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10400,2024-04-22
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20.0,2000,2024-04-17
"Chain Lakes
Reservoir",,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.6,990,2024-04-22
"Chain Lakes
Reservoir",,NE4-15-2-W5,RNTR,Campbell Lake,3N,21.0,4510,2024-04-26
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,19.9,4000,2024-05-02
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.0,4000,2024-04-24
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.3,3200,2024-04-30
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,20.4,4000,2024-04-30
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.0,2000,2024-05-03
Michel Reservoir,"Michel Creek
Reservoir",NE5-7-3-W4,RNTR,Campbell Lake,2N,20.2,3000,2024-04-25
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,3N,20.6,1500,2024-04-22
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.1,6400,2024-04-24
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,20.1,2332,2024-05-01
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,19.2,668,2024-05-01
Sardine Lake,,SW5-49-4-W5,RNTR,Campbell Lake,3N,20.8,1250,2024-05-01
Sauer Lake,,NE28-53-1-W5,RNTR,Campbell Lake,2N,20.3,2400,2024-05-01
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,20.1,4000,2024-05-01
Star Lake,,NE19-52-2-W5,RNTR,Campbell Lake,2N,20.4,3216,2024-04-30
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,3N,20.0,3500,2024-05-02
Unnamed,"Acadia Valley
Reservoir",SW5-25-2-W4,RNTR,Campbell Lake,2N,20.2,2000,2024-04-23
Unnamed,"Ardmore Community
Pond",NW1-62-4-W4,RNTR,Campbell Lake,2N,20.0,160,2024-05-03
Unnamed,Ashland Reservoir,NW17-48-3-W5,RNTR,Campbell Lake,2N,20.0,3200,2024-04-29
Unnamed,Bellis Beach Lake,SE15-59-15-W4,RNTR,Campbell Lake,2N,20.0,5600,2024-05-02
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,5000,2024-04-18
Unnamed,"Brooks
Aquaduct Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,20.4,4000,2024-04-15
Unnamed,"By The Lake
Park",SW22-46-24-W4,RNTR,Campbell Lake,2N,20.7,2000,2024-04-29
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,20.0,4600,2024-04-30
Unnamed,"Coronation
Reservoir",SW24-36-11-W4,RNTR,Campbell Lake,2N,19.9,2120,2024-04-17
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,RNTR,Campbell Lake,2N,20.3,2000,2024-04-18
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,RNTR,Campbell Lake,2N,43.2,30,2024-04-25
Unnamed,Elk Point Pond,NW36-56-7-W4,RNTR,Campbell Lake,2N,19.5,360,2024-05-03
Unnamed,Hiller's Reservoir,SE13-32-29-W4,RNTR,Campbell Lake,2N,20.0,3000,2024-04-19
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Campbell Lake,2N,20.0,2400,2024-04-17
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Campbell Lake,2N,55.2,15,2024-04-25
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,20.0,160,2024-05-03
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20.7,1310,2024-04-29
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20.0,690,2024-04-29
Unnamed,Lloydminster Pond,SE6-50-1-W4,RNTR,Campbell Lake,2N,20.0,200,2024-05-03
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,2N,20.0,2400,2024-05-02
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,RNTR,Campbell Lake,2N,19.5,720,2024-05-03
Unnamed,"Vegreville Trout
Pond",SW7-52-14-W4,RNTR,Campbell Lake,2N,20.0,4000,2024-04-19
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Pit Lakes,2N,17.6,2000,2024-04-23
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lakes,2N,17.8,7000,2024-04-24
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Pit Lakes,2N,18.6,8120,2024-05-03
Unnamed,Shemeluk Lake,SW25-60-17-W4,RNTR,Pit Lakes,2N,18.6,4200,2024-05-02
Chatwin Lake,,NE4-61-6-W4,RNTR,Riverence,AF2N,8.4,10779,2024-05-02
Chatwin Lake,,NE4-61-6-W4,RNTR,Riverence,AF2N,8.0,4221,2024-05-02
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.0,23199,2024-05-03
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,22088,2024-05-03
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,8.2,4713,2024-05-03
Jack Fish Lake,,NW20-53-9-W4,RNTR,Riverence,AF2N,8.5,5000,2024-05-03
Muir Lake,,NW32-53-27-W4,RNTR,Riverence,AF3N,22.8,1506,2024-05-01
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,22.9,3500,2024-04-22
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Riverence,AF2N,7.7,10000,2024-04-18
Unnamed,"Brooks
Aquaduct Pond",NE15-18-14-W4,RNTR,Riverence,AF2N,7.4,10000,2024-04-15
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF2N,7.6,5000,2024-04-17
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,RNTR,Riverence,AF3N,22.5,1000,2024-04-10
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Riverence,AF3N,22.2,919,2024-04-10
Unnamed,Vegreville Trout Pond,SW7-52-14-W4,RNTR,Riverence,AF2N,7.7,10000,2024-04-19
"Bonnyville Town
Pond",Slawuta Lake,NW7-61-5-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,500,2024-05-03
"Chain Lakes
Reservoir",,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,4428,2024-04-26
Ironside Pond,,SW7-38-7-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.3,250,2024-05-03
Michichi Reservoir,,SW19-30-18-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.7,3360,2024-04-25
Unnamed,Bashaw Pond,SE4-42-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,500,2024-04-18
Unnamed,"Crossfield Trout
Pond",SE27-28-1-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.3,700,2024-05-01
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.0,9000,2024-05-01
Unnamed,"Innisfree Trout
Pond",SE13-51-12-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,400,2024-05-02
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.7,500,2024-04-17
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1750,2024-05-03
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,1792,2024-04-30
Unnamed,"McQuillan
Reservoir",SW13-8-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,19.9,1900,2024-04-10
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,1425,2024-04-29
Unnamed,"Pine Coulee
Reservoir",NE15-14-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.4,3750,2024-04-15
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,605,2024-04-25
Unnamed,"Spring Coulee
Park Pond",NE12-5-24-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.4,1250,2024-04-15
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1200,2024-04-24
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1356,2024-04-24
Unnamed,"Bow City East
Ponds",NE15-17-17-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2024-04-18
Unnamed,"Cipperley's
Reservoir",SW8-32-1-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1100,2024-04-22
Unnamed,Dewitt's Pond,SE31-26-1-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1100,2024-04-22
Unnamed,"Foremost
Reservoir",NW17-6-11-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1500,2024-04-18
Unnamed,"Goldspring Park
Pond",NE6-2-15-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2363,2024-04-18
Unnamed,"Hansen's
Reservoir",NE29-38-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1000,2024-04-24
Unnamed,"Midway
Reservoir",SE16-30-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2024-04-22
Windsor Lake,,SW10-42-22-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,4732,2024-04-23
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Silver's,AF3N,12.2,54000,2024-04-29
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.6,11500,2024-04-26
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,3304,2024-04-26
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,6768,2024-04-26
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1400,2024-05-03
Lees Lake,,SW8-7-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.0,10000,2024-04-11
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,19.8,15000,2024-04-11
Unnamed,Boyle Pond,NE16-64-19-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.1,2200,2024-05-03
Unnamed,Bud Miller Park Pond,NE26-49-1-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,1500,2024-05-02
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.0,2500,2024-04-10
Unnamed,Daysland Pond,NE9-45-16-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.3,400,2024-04-18
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,4050,2024-04-29
Unnamed,Hermitage Park Pond,NE18-53-23-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,1295,2024-05-01
Unnamed,Irma Fish and Game Pond,SW34-45-9-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,200,2024-05-02
Unnamed,Kraft Wimborne Pond,SE28-33-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.4,180,2024-04-30
Unnamed,Lacombe Park Pond,NW5-54-25-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,500,2024-04-30
Unnamed,McVinnie Reservoir,SW33-12-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.0,1155,2024-04-10
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.9,350,2024-05-03
Unnamed,Severn Creek Reservoir,NW12-26-22-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,3360,2024-04-15
Unnamed,Telegraph Park Pond,NW32-48-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.7,1100,2024-04-25
Unnamed,Anderson Dam,SW25-28-21-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,900,2024-04-22
Unnamed,Enchant Pond,NW8-14-18-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2024-04-18
Unnamed,Gooseberry Park Pond,NE22-36-6-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,3500,2024-04-23
Unnamed,"Ponoka Centennial Park
Pond",NE5-43-25-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1000,2024-04-24
Unnamed,Stirling Children's Pond,SW29-6-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1000,2024-04-18
