Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,"Average
Length (cm)",Number Stocked,Stocking Date
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,350,03-05-2024
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,263,13-06-2024
Unnamed,Mitford Ponds,SE4-26-4-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,30,25,13-06-2024
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,BNTR,Bow River,3N,20.8,222,29-04-2024
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,1425,29-04-2024
Unnamed,"Morinville Fish
and Game Pond",NW4-56-25-W4,RNTR,Campbell Lake,3N,21.5,1000,30-09-2024
Unnamed,"Mound Red
Reservoir",NW11-45-28-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,3000,07-05-2024
Unnamed,"Mound Red
Reservoir",NW11-45-28-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30.1,50,17-05-2024
Unnamed,Muskoseepi Pond,SE26-71-6-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,250,08-05-2024
Unnamed,Nardam Lake,NE17-78-5-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.1,250,08-05-2024
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,RNTR,Riverence,AF3N,22.5,1000,10-04-2024
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BKTR,Beitty Resort,3N,19.7,1000,10-04-2024
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BNTR,Bow River,3N,18.5,1000,10-04-2024
Unnamed,Nicholas Sheran Park Pond,SE26-8-22-W4,BKTR,Bow River,2N,38,268,11-04-2024
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,RNTR,Campbell Lake,2N,55,50,17-10-2024
Unnamed,Niton Lake,SE32-53-12-W5,RNTR,Riverence,AF3N,23,753,13-05-2024
Unnamed,"Nordegg Borrow
Pit (East)",SE32-40-15-W5,RNTR,Riverence,AF3N,23.1,151,07-05-2024
Unnamed,Nordegg Borrow Pit (East),SE32-40-15-W5,RNTR,Campbell Lake,2N,45,20,04-06-2024
Unnamed,"Nordegg Borrow
Pit (West)",SW32-40-15-W5,RNTR,Riverence,AF3N,23.1,201,07-05-2024
Unnamed,"Nordegg Borrow
Pit (West)",SW32-40-15-W5,RNTR,Campbell Lake,2N,45,20,04-06-2024
Unnamed,Nose Creek Pond,NE1-27-1-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,350,15-05-2024
Unnamed,Nose Creek Pond,NE1-27-1-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,30.1,50,15-05-2024
Unnamed,Nuggent Pond,SE14-44-3-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,600,07-05-2024
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,2N,20,2400,02-05-2024
Unnamed,Open Creek Reservoir,NE25-42-6-W5,RNTR,Campbell Lake,2N,50.1,25,10-05-2024
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,2N,35.1,25,10-05-2024
Unnamed,"Open Creek
Reservoir",NE25-42-6-W5,RNTR,Campbell Lake,3N,22,1000,04-06-2024
Unnamed,"Oyen (Concrete
Plant) Pond",NW34-27-4-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,350,07-06-2024
Unnamed,Pine Coulee Reservoir,NE15-14-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.4,3750,15-04-2024
Unnamed,"Pine Coulee
Reservoir",NE15-14-28-W4,RNTR,Riverence,AF3N,11.8,31959,20-09-2024
Unnamed,Pit 24,NE4-47-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,375,23-05-2024
Unnamed,Pit 24,NE4-47-19-W5,BNTR,Bow River,3N,20.6,250,23-05-2024
Unnamed,Pit 35,SW26-46-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,195,21-05-2024
Unnamed,Pit 44,SW35-46-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,550,21-05-2024
Unnamed,Pit 45,SE26-46-19-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,550,21-05-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,1100,25-04-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,BNTR,Bow River,3N,19.7,193,25-04-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,BKTR,Beitty Resort,3N,21.7,750,15-05-2024
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,TGTR,Beitty/Bow River,3N,19.9,200,25-05-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,813,12-06-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,Campbell Lake,3N,20.4,1800,18-09-2024
Unnamed,"Pleasure Island
Reservoir",SW20-46-19-W4,RNTR,Trout Lodge/Silver's,AF3N,21.1,500,04-10-2024
Unnamed,"Ponoka
Centennial Park Pond",NE5-43-25-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1000,24-04-2024
Unnamed,"Ponoka
Centennial Park Pond",NE5-43-25-W4,TGTR,Beitty/Bow River,3N,19.7,100,30-04-2024
Unnamed,"Radway Fish
Pond",SE31-58-20-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20,1040,10-05-2024
Unnamed,Rainbow Lake Pond,NE25-109-9-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.7,500,14-05-2024
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Riverence,AF3N,22.2,919,10-04-2024
Unnamed,Severn Creek Reservoir,NW12-26-22-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,3360,15-04-2024
Unnamed,"Shell True North
Pond",SW10-79-8-W6,BKTR,Beitty Resort,3N,19.8,590,08-05-2024
Unnamed,"Shell True North
Pond",SW10-79-8-W6,TGTR,Beitty/Bow River,3N,19.2,50,08-05-2024
Unnamed,Shemeluk Lake,SW25-60-17-W4,RNTR,Pit Lakes,2N,18.6,4200,02-05-2024
Unnamed,Shuster Lake,NE26-43-5-W4,BKTR,Beitty Resort,3N,18.5,3500,24-04-2024
Unnamed,Silkstone Lake,NE9-47-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,650,23-05-2024
Unnamed,"Spring Coulee
Park Pond",NE12-5-24-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.4,1250,15-04-2024
Unnamed,Spring Lake,NE23-75-11-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,3200,07-05-2024
Unnamed,Spring Lake,NE23-75-11-W6,BKTR,Beitty Resort,3N,21.1,3780,10-06-2024
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,RNTR,Campbell Lake,2N,19.5,720,03-05-2024
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,BNTR,Bow River,3N,19.5,400,03-05-2024
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,TGTR,Beitty/Bow River,3N,20.1,300,03-05-2024
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,RNTR,Campbell Lake,2N,20.3,600,26-09-2024
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,RNTR,Trout Lodge/Silver's,AF3N,22.6,500,26-09-2024
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,RNTR,Campbell Lake,2N,22.5,200,07-10-2024
Unnamed,"Stirling Children's
Pond",SW29-6-19-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1000,18-04-2024
Unnamed,"Strathmore
Children's Pond",SW14-24-25-W4,TGTR,Beitty/Bow River,3N,19.1,150,02-05-2024
Unnamed,"Strathmore
Children's Pond",SW14-24-25-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,1500,07-06-2024
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.1,2500,16-05-2024
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30.1,60,16-05-2024
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,2500,10-06-2024
Unnamed,Tamarack Lake,NE10-66-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,6.1,8000,03-10-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,BKTR,Beitty Resort,3N,18.8,750,25-04-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,605,25-04-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,BNTR,Bow River,3N,19.7,283,25-04-2024
Unnamed,Telegraph Park Pond,NW32-48-21-W4,TGTR,Beitty/Bow River,3N,19.5,200,25-04-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,300,25-05-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.4,500,12-06-2024
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,Campbell Lake,3N,21.9,1000,19-09-2024
Unnamed,Telegraph Park Pond,NW32-48-21-W4,RNTR,Trout Lodge/Silver's,AF3N,21.1,500,04-10-2024
Unnamed,"Texaco East
Pond",NW15-88-8-W4,RNTR,Campbell Lake,2N,20.1,1080,10-05-2024
Unnamed,Texaco Pond,SW20-88-8-W4,RNTR,Campbell Lake,2N,20.1,600,10-05-2024
Unnamed,"Tim Horton
Children's Pond",NW14-24-8-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20,600,13-05-2024
Unnamed,Trapper Lake,SE19-58-16-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,6.1,1100,02-10-2024
Unnamed,"Twin Valley
Reservoir",NE7-15-25-W4,WALL,Lac Ste. Anne,2N,0.04,1825000,27-05-2024
Unnamed,Valleyview Children's Pond,NE21-70-22-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,250,29-05-2024
Unnamed,"Vegreville
Children's Pond",NW17-52-14-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,600,08-05-2024
Unnamed,"Vegreville Trout
Pond",SW7-52-14-W4,RNTR,Campbell Lake,2N,20,4000,19-04-2024
Unnamed,"Vegreville Trout
Pond",SW7-52-14-W4,RNTR,Riverence,AF2N,7.7,10000,19-04-2024
Unnamed,Vegreville Trout Pond,SW7-52-14-W4,RNTR,Campbell Lake,2N,21.6,5000,01-10-2024
Unnamed,"Wallace Park
Pond",NE31-44-6-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,500,10-05-2024
Unnamed,Weberville Pond,NW7-85-21-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,500,14-05-2024
Unnamed,Wetaskiwin Pond,NE24-46-24-W4,BKTR,Beitty Resort,3N,21.7,250,15-05-2024
Unnamed,Wetaskiwin Pond,NE24-46-24-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,150,17-05-2024
Unnamed,"Whitecourt Town
Pond",NE35-59-12-W5,RNTR,Riverence,AF3N,23.2,753,27-05-2024
Unnamed,Wildwood Pond,SW30-53-9-W5,RNTR,Riverence,AF3N,23,753,13-05-2024
Unnamed,Winchell Lake,NW2-29-5-W5,RNTR,Campbell Lake,3N,20,3000,08-05-2024
Unnamed,Wolf Creek Pond,SW13-53-16-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,375,30-05-2024
Victor Lake,,SW35-56-8-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,7500,10-05-2024
Victor Lake,,SW35-56-8-W6,RNTR,Trout Lodge/Jumpers,AF3N,5.2,10000,17-09-2024
Victor Lake,,SW35-56-8-W6,RNTR,Trout Lodge/Silver's,AF3N,22.7,5000,18-09-2024
West Dollar Lake,,SE18-73-21-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,500,07-05-2024
West Dollar Lake,,SE18-73-21-W5,BNTR,Bow River,3N,19.5,250,07-05-2024
"West Rivers Edge
Pond","Fort Lions Park
Pond",NE23-54-23-W4,BNTR,Bow River,3N,20.4,250,08-05-2024
West Rivers Edge Pond,Fort Lions Park Pond,NE23-54-23-W4,TGTR,Beitty/Bow River,3N,19.4,450,08-05-2024
"West Rivers Edge
Pond","Fort Lions Park
Pond",NE23-54-23-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,800,08-05-2024
"West Rivers Edge
Pond","Fort Lions Park
Pond",NE23-54-23-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.7,1100,29-05-2024
"West Rivers Edge
Pond","Fort Lions Park
Pond",NE23-54-23-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30,50,29-05-2024
"Whiteridge Recreation
Area Pond",Blueridge Pit,SW1-60-10-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,1050,29-05-2024
Wildhorse Lakes,"Lower Wildhorse
Lake",SW31-49-26-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,3750,30-05-2024
Wildhorse Lakes,"Lower Wildhorse
Lake",SW31-49-26-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,5.2,10000,17-09-2024
Wildhorse Lakes,"Upper Wildhorse
Lake",SW31-49-26-W5,BKTR,Beitty Resort,3N,7.4,2500,30-05-2024
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.04,1457587,03-06-2024
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.04,967050,04-06-2024
Winagami Lake,,SW33-76-18-W5,WALL,Rock Island,2N,0.04,1044098,06-06-2024
Windsor Lake,,SW10-42-22-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,4732,23-04-2024
Yellowhead Lake,,SW33-34-6-W5,BKTR,Beitty Resort,3N,19.9,2000,03-06-2024
