id,catch_date,record_date,location,length,weight,fly_size,fly_colour,notes,fish_id,fly_id,lake_id,fish_swami,num_landed,temp_id
168,2021-10-11,2022-12-31,,0,0,,,,,,103,42104,0,36
169,2021-10-06,2022-12-31,,0,0,,,,,,85,42059,0,32
170,2021-10-06,2022-12-31,,0,0,,,,,,85,41995,0,31
171,2021-09-28,2022-12-31,,0,0,,,,,,85,41994,0,31
172,2021-09-28,2022-12-31,,18,0,,white,,1,30,36,41996,0,31
173,2021-09-25,2022-12-31,,30,0,,olive,,1,11,85,41996,2,30
174,2021-10-12,2023-01-03,,0,0,,,Water temp only log,,,103,42104,0,36
175,2021-10-11,2023-01-03,,0,0,,,Water temp only log,,,103,42087,0,36
176,2021-10-10,2023-01-03,,0,0,,,Water temp only log,,,103,42086,0,35
177,2021-10-06,2023-01-03,,0,0,,,Water temp only log,,,85,42059,0,32
178,2021-09-29,2023-01-03,,0,0,,,Water temp only log,,,85,41995,0,31
179,2021-09-28,2023-01-03,,0,0,,,Water temp only log,,,85,41994,0,30
180,2021-09-28,2023-01-03,,18,0,,white,,1,1,36,41996,2,31
181,2021-09-25,2023-01-03,,30,0,,olive,,1,11,36,41961,2,30
182,2021-09-22,2023-01-03,,0,0,,olive,,,,103,41963,0,30
183,2021-09-21,2023-01-03,,0,0,,olive,,,,85,41951,0,31
184,2021-09-20,2023-01-03,,0,0,,olive,Water temp only log,,,36,41927,0,31
185,2021-09-19,2023-01-03,,0,0,,olive,Water temp only log,,,103,41926,0,31
186,2021-09-14,2023-01-03,,0,0,,olive,Water temp only log,,,103,41900,0,27
187,2021-09-11,2023-01-03,,20,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',1,1,21,41873,1,26
188,2021-09-06,2023-01-03,,20,0,,olive,,1,,85,41845,1,1
189,2021-09-11,2023-01-03,,15,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',1,1,21,41873,1,26
190,2021-09-11,2023-01-03,,15,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',3,1,21,41873,1,26
